plr_id,plr_name,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,svb_vollzeit,median_gross_income,median_rent,cases,average_rent,median_net_income,is_affordable_avg_person,is_affordable_buergergeld,rent_burden_avg_person,rent_burden_buergergeld,population,gap_rent_avg_person,gap_rent_buergergeld
1300730,Drontheimer Straße,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße,1362,3184.0,6.25,111,6.45,2324.32,True,False,0.15214216163583252,0.3179043743641913,8068,141.62964799999997,-0.3520000000000003
1300731,Koloniestraße,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße,1704,3349.0,6.81,133,7.06,2444.77,True,False,0.16577409931840312,0.3463886063072228,8975,141.06964799999997,-0.9119999999999999
1300732,Soldiner Straße,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße,1944,3570.0,7.0,164,7.04,2606.1,True,False,0.17039922103213243,0.3560528992878942,10178,140.87964799999997,-1.1020000000000003
1300733,Gesundbrunnen,1,Mitte,130,Gesundbrunnen,13007,Osloer Straße,2256,3693.0,6.56,173,7.27,2695.89,True,False,0.1596884128529698,0.3336724313326551,11692,141.31964799999997,-0.6619999999999999
1300834,Brunnenstraße,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord,2670,3780.0,6.18,52,6.73,2759.4,True,False,0.1504381694255112,0.3143438453713123,14376,141.69964799999997,-0.28200000000000003
1300835,Humboldthain Süd,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord,1987,3634.0,6.22,59,6.74,2652.82,True,False,0.15141187925998054,0.31637843336724314,10972,141.65964799999998,-0.32200000000000006
1300836,Humboldthain Nordwest,1,Mitte,130,Gesundbrunnen,13008,Brunnenstraße Nord,2905,3710.0,6.96,163,7.22,2708.3,True,False,0.1694255111976631,0.3540183112919634,14988,140.91964799999997,-1.0620000000000003
1400937,Afrikanische Straße,1,Mitte,140,Wedding,14009,Parkviertel,2672,3519.0,6.98,127,6.91,2568.87,True,False,0.16991236611489777,0.3550356052899288,10940,140.89964799999998,-1.0820000000000007
1400938,Kameruner Straße,1,Mitte,140,Wedding,14009,Parkviertel,2224,3884.0,7.12,145,7.33,2835.32,True,False,0.1733203505355404,0.3621566632756867,9703,140.75964799999997,-1.2220000000000004
1400939,Glasgower Straße,1,Mitte,140,Wedding,14009,Parkviertel,1274,3781.0,6.9,84,6.92,2760.13,True,False,0.1679649464459591,0.35096642929806715,6122,140.97964799999997,-1.0020000000000007
1400940,Schillerpark,1,Mitte,140,Wedding,14009,Parkviertel,1426,3431.0,7.02,61,6.88,2504.63,True,False,0.17088607594936708,0.3570701932858596,7088,140.85964799999996,-1.1219999999999999
1400941,Londoner Straße,1,Mitte,140,Wedding,14009,Parkviertel,743,3538.0,6.5,37,6.78,2582.74,True,False,0.15822784810126583,0.3306205493387589,3879,141.37964799999997,-0.6020000000000003
1400942,Westliche Müllerstraße,1,Mitte,140,Wedding,14009,Parkviertel,1944,4018.0,7.43,100,7.28,2933.14,True,False,0.1808666017526777,0.3779247202441506,8690,140.44964799999997,-1.532
1401043,Antonstraße,1,Mitte,140,Wedding,14010,Wedding Zentrum,1387,3492.0,6.89,77,6.93,2549.16,True,False,0.16772151898734178,0.3504577822990844,7690,140.989648,-0.992
1401044,Uferstraße,1,Mitte,140,Wedding,14010,Wedding Zentrum,1921,3527.0,6.67,128,7.13,2574.71,True,False,0.16236611489776046,0.3392675483214649,10304,141.209648,-0.7720000000000002
1401045,Schweden-straße,1,Mitte,140,Wedding,14010,Wedding Zentrum,1080,3383.0,6.5,37,6.79,2469.59,True,False,0.15822784810126583,0.3306205493387589,5689,141.37964799999997,-0.6020000000000003
1401046,Nordufer,1,Mitte,140,Wedding,14010,Wedding Zentrum,2121,4050.0,7.97,113,8.05,2956.5,True,False,0.19401168451801362,0.4053916581892167,8973,139.90964799999998,-2.072
1401047,Sparrplatz,1,Mitte,140,Wedding,14010,Wedding Zentrum,1573,3830.0,7.04,69,7.34,2795.9,True,False,0.17137293086660174,0.358087487283825,8211,140.83964799999998,-1.1420000000000003
1401048,Leopoldplatz,1,Mitte,140,Wedding,14010,Wedding Zentrum,2093,3824.0,7.78,146,7.79,2791.52,True,False,0.18938656280428431,0.3957273652085453,9504,140.09964799999997,-1.8820000000000006
1401049,Schulstraße,1,Mitte,140,Wedding,14010,Wedding Zentrum,1143,3536.0,7.04,56,7.16,2581.28,True,False,0.17137293086660174,0.358087487283825,6716,140.83964799999998,-1.1420000000000003
2100101,Askanischer Platz,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,1539,4313.0,8.0,83,8.51,3148.49,True,False,0.19474196689386564,0.4069175991861648,7175,139.87964799999997,-2.1020000000000003
2100102,Mehringplatz,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,1621,3940.0,9.0,74,9.03,2876.2,True,False,0.21908471275559882,0.4577822990844354,8695,138.87964799999997,-3.1020000000000003
2100103,Am Berlin Museum,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,1048,4034.0,6.64,34,7.47,2944.82,True,False,0.16163583252190847,0.3377416073245168,5466,141.239648,-0.742
2100104,Moritzplatz,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,979,3538.0,7.5,16,8.53,2582.74,True,False,0.18257059396299902,0.3814852492370295,5636,140.37964799999997,-1.6020000000000003
2100105,Prinzenstraße,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,1663,3517.0,7.3,36,7.46,2567.41,True,False,0.17770204479065238,0.3713123092573754,9452,140.57964799999996,-1.4020000000000001
2100106,Wassertorplatz,2,Friedrichshain-Kreuzberg,210,Kreuzberg Nord,21001,Südliche  Friedrichstadt,690,3622.0,5.9,25,6.17,2644.06,True,False,0.1436222005842259,0.30010172939979657,4903,141.97964799999997,-0.002000000000000668
2200207,Gleisdreieck,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,725,6347.0,12.15,12,12.35,4633.31,True,False,0.2957643622200584,0.6180061037639878,2574,135.72964799999997,-6.252000000000001
2200208,Rathaus Yorckstraße,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,1251,4549.0,9.0,44,9.16,3320.77,True,False,0.21908471275559882,0.4577822990844354,5767,138.87964799999997,-3.1020000000000003
2200209,Viktoriapark,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,2547,4777.0,10.0,160,9.89,3487.21,True,False,0.24342745861733203,0.508646998982706,10976,137.87964799999997,-4.102
2200210,Urbanstraße,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,2822,4557.0,9.0,110,8.97,3326.61,True,False,0.21908471275559882,0.4577822990844354,12269,138.87964799999997,-3.1020000000000003
2200211,Chamissokiez,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,3276,4682.0,10.5,106,10.88,3417.86,True,False,0.2555988315481986,0.5340793489318413,14676,137.37964799999997,-4.602
2200212,Graefekiez Süd,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,1703,4461.0,9.59,49,9.46,3256.53,True,False,0.23344693281402143,0.48779247202441506,8405,138.28964799999997,-3.692
2200213,Graefekiez Nord,2,Friedrichshain-Kreuzberg,220,Kreuzberg Süd,22002,Tempelhofer Vorstadt,2091,4786.0,9.98,62,9.75,3493.78,True,False,0.24294060370009737,0.5076297049847406,10117,137.89964799999998,-4.082000000000001
2300314,Oranienplatz,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt,1076,3688.0,7.91,22,8.59,2692.24,True,False,0.19255111976630965,0.40233977619532046,7177,139.96964799999998,-2.0120000000000005
2300315,Lausitzer Platz,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt,1274,4042.0,10.0,36,9.59,2950.66,True,False,0.24342745861733203,0.508646998982706,8326,137.87964799999997,-4.102
2300316,Köpenicker Straße,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23003,Nördliche Luisenstadt,728,4138.0,8.33,21,8.39,3020.74,True,False,0.20277507302823758,0.4237029501525941,4240,139.54964799999996,-2.4320000000000004
2300417,Reichenberger Straße West,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt,1500,4326.0,9.5,47,8.92,3157.98,True,False,0.23125608568646544,0.4832146490335707,8149,138.37964799999997,-3.6020000000000003
2300418,Reichenberger Straße Ost,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt,1609,4390.0,10.0,58,9.85,3204.7,True,False,0.24342745861733203,0.508646998982706,7645,137.87964799999997,-4.102
2300419,Wrangelkiez,2,Friedrichshain-Kreuzberg,230,Kreuzberg Ost,23004,Südliche Luisenstadt,2168,4165.0,10.0,79,9.75,3040.45,True,False,0.24342745861733203,0.508646998982706,10568,137.87964799999997,-4.102
2400520,Barnimkiez,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord,1242,3751.0,7.1,10,7.61,2738.23,True,False,0.17283349561830574,0.3611393692777213,5919,140.77964799999998,-1.202
2400521,Friedenstraße,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord,2595,4638.0,8.75,81,8.99,3385.74,True,False,0.21299902629016554,0.44506612410986773,8529,139.12964799999997,-2.8520000000000003
2400522,Richard-Sorge-Viertel,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24005,Karl-Marx-Allee Nord,3577,4693.0,9.02,187,9.28,3425.89,True,False,0.2195715676728335,0.4587995930824008,11493,138.85964799999996,-3.122
2400623,Andreasviertel,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd,3496,4160.0,8.99,132,8.93,3036.8,True,False,0.2188412852969815,0.4572736520854527,13618,138.88964799999997,-3.0920000000000005
2400624,Weberwiese,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd,3352,4542.0,9.03,121,9.29,3315.66,True,False,0.2198149951314508,0.45930824008138343,11917,138.84964799999997,-3.1319999999999997
2400625,Wriezener Bahnhof,2,Friedrichshain-Kreuzberg,240,Friedrichshain West,24006,Karl-Marx-Allee Süd,649,5871.0,9.5,19,9.62,4285.83,True,False,0.23125608568646544,0.4832146490335707,1289,138.37964799999997,-3.6020000000000003
2500726,Hausburgviertel,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord,2977,4423.0,9.0,239,9.15,3228.79,True,False,0.21908471275559882,0.4577822990844354,9236,138.87964799999997,-3.1020000000000003
2500727,Forckenbeckplatz,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord,2036,4639.0,8.5,81,8.86,3386.47,True,False,0.20691333982473223,0.4323499491353001,6642,139.37964799999997,-2.6020000000000003
2500728,Samariterviertel,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord,3164,4908.0,8.82,95,8.57,3582.84,True,False,0.21470301850048684,0.4486266531027467,10110,139.05964799999998,-2.9220000000000006
