bez_id;bez_name;pgr_id;pgr_name;bzr_id;bzr_name;plr_id;plr
01;Mitte;0110;Zentrum;011001;Tiergarten Süd;01100101;Stülerstraße
01;Mitte;0110;Zentrum;011001;Tiergarten Süd;01100102;Großer Tiergarten
01;Mitte;0110;Zentrum;011001;Tiergarten Süd;01100103;Lützowstraße
01;Mitte;0110;Zentrum;011001;Tiergarten Süd;01100104;Körnerstraße
01;Mitte;0110;Zentrum;011002;Regierungsviertel;01100205;Wilhelmstraße
01;Mitte;0110;Zentrum;011002;Regierungsviertel;01100206;Unter den Linden
01;Mitte;0110;Zentrum;011002;Regierungsviertel;01100207;Leipziger Straße
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100308;Charitéviertel
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100309;Oranienburger Straße
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100310;Alexanderplatzviertel
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100311;Karl-Marx-Allee
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100312;Heine-Viertel West
01;Mitte;0110;Zentrum;011003;Alexanderplatz;01100313;Heine-Viertel Ost
01;Mitte;0110;Zentrum;011004;Brunnenstraße Süd;01100414;Nordbahnhof
01;Mitte;0110;Zentrum;011004;Brunnenstraße Süd;01100415;Invalidenstraße
01;Mitte;0110;Zentrum;011004;Brunnenstraße Süd;01100416;Arkonaplatz
01;Mitte;0120;Moabit;012005;Moabit West;01200517;Huttenkiez
01;Mitte;0120;Moabit;012005;Moabit West;01200518;Beusselkiez
01;Mitte;0120;Moabit;012005;Moabit West;01200519;Emdener Straße
01;Mitte;0120;Moabit;012005;Moabit West;01200520;Bremer Straße
01;Mitte;0120;Moabit;012005;Moabit West;01200521;Zwinglistraße
01;Mitte;0120;Moabit;012005;Moabit West;01200522;Elberfelder Straße
01;Mitte;0120;Moabit;012006;Moabit Ost;01200623;Stephankiez
01;Mitte;0120;Moabit;012006;Moabit Ost;01200624;Heidestraße
01;Mitte;0120;Moabit;012006;Moabit Ost;01200625;Lübecker Straße
01;Mitte;0120;Moabit;012006;Moabit Ost;01200626;Thomasiusstraße
01;Mitte;0120;Moabit;012006;Moabit Ost;01200627;Zillesiedlung
01;Mitte;0120;Moabit;012006;Moabit Ost;01200628;Lüneburger Straße
01;Mitte;0120;Moabit;012006;Moabit Ost;01200629;Hansaviertel
01;Mitte;0130;Gesundbrunnen;013007;Osloer Straße;01300730;Drontheimer Straße
01;Mitte;0130;Gesundbrunnen;013007;Osloer Straße;01300731;Koloniestraße
01;Mitte;0130;Gesundbrunnen;013007;Osloer Straße;01300732;Soldiner Straße
01;Mitte;0130;Gesundbrunnen;013007;Osloer Straße;01300733;Gesundbrunnen
01;Mitte;0130;Gesundbrunnen;013008;Brunnenstraße Nord;01300834;Brunnenstraße
01;Mitte;0130;Gesundbrunnen;013008;Brunnenstraße Nord;01300835;Humboldthain Süd
01;Mitte;0130;Gesundbrunnen;013008;Brunnenstraße Nord;01300836;Humboldthain Nordwest
01;Mitte;0140;Wedding;014009;Parkviertel;01400937;Afrikanische Straße
01;Mitte;0140;Wedding;014009;Parkviertel;01400938;Kameruner Straße
01;Mitte;0140;Wedding;014009;Parkviertel;01400939;Glasgower Straße
01;Mitte;0140;Wedding;014009;Parkviertel;01400940;Schillerpark
01;Mitte;0140;Wedding;014009;Parkviertel;01400941;Londoner Straße
01;Mitte;0140;Wedding;014009;Parkviertel;01400942;Westliche Müllerstraße
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401043;Antonstraße
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401044;Uferstraße
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401045;Schwedenstraße
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401046;Nordufer
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401047;Sparrplatz
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401048;Leopoldplatz
01;Mitte;0140;Wedding;014010;Wedding Zentrum;01401049;Schulstraße
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100101;Askanischer Platz
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100102;Mehringplatz
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100103;Am Berlin Museum
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100104;Moritzplatz
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100105;Prinzenstraße
02;Friedrichshain-Kreuzberg;0210;Kreuzberg Nord;021001;Südliche  Friedrichstadt;02100106;Wassertorplatz
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200207;Gleisdreieck
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200208;Rathaus Yorckstraße
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200209;Viktoriapark
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200210;Urbanstraße
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200211;Chamissokiez
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200212;Graefekiez Süd
02;Friedrichshain-Kreuzberg;0220;Kreuzberg Süd;022002;Tempelhofer Vorstadt;02200213;Graefekiez Nord
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023003;Nördliche Luisenstadt;02300314;Oranienplatz
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023003;Nördliche Luisenstadt;02300315;Lausitzer Platz
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023003;Nördliche Luisenstadt;02300316;Köpenicker Straße
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023004;Südliche Luisenstadt;02300417;Reichenberger Straße West
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023004;Südliche Luisenstadt;02300418;Reichenberger Straße Ost
02;Friedrichshain-Kreuzberg;0230;Kreuzberg Ost;023004;Südliche Luisenstadt;02300419;Wrangelkiez
