bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,plr_id,plr_name,year,median,cases,average
02,Friedrichshain-Kreuzberg,0210,Kreuzberg Nord,021001,Südliche  Friedrichstadt,02100106,Wassertorplatz,2024,7.09,6.0,8.1
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200207,Gleisdreieck,2024,20.13,34.0,22.16
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200208,Rathaus Yorckstraße,2024,18.46,17.0,17.51
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200209,Viktoriapark,2024,22.0,54.0,21.94
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200210,Urbanstraße,2024,19.99,56.0,20.62
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200211,Chamissokiez,2024,17.83,41.0,18.13
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200212,Graefekiez Süd,2024,19.01,15.0,19.79
02,Friedrichshain-Kreuzberg,0220,Kreuzberg Süd,022002,Tempelhofer Vorstadt,02200213,Graefekiez Nord,2024,17.79,16.0,18.45
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023003,Nördliche Luisenstadt,02300314,Oranienplatz,2024,15.8,22.0,16.14
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023003,Nördliche Luisenstadt,02300315,Lausitzer Platz,2024,11.67,28.0,16.61
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023003,Nördliche Luisenstadt,02300316,Köpenicker Straße,2024,10.42,5.0,15.83
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023004,Südliche Luisenstadt,02300417,Reichenberger Straße West,2024,15.93,46.0,17.59
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023004,Südliche Luisenstadt,02300418,Reichenberger Straße Ost,2024,20.06,34.0,19.33
02,Friedrichshain-Kreuzberg,0230,Kreuzberg Ost,023004,Südliche Luisenstadt,02300419,Wrangelkiez,2024,18.75,31.0,18.67
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024005,Karl-Marx-Allee Nord,02400520,Barnimkiez,2024,18.33,43.0,15.93
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024005,Karl-Marx-Allee Nord,02400521,Friedenstraße,2024,20.83,99.0,20.22
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024005,Karl-Marx-Allee Nord,02400522,Richard-Sorge-Viertel,2024,14.0,52.0,15.37
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024006,Karl-Marx-Allee Süd,02400623,Andreasviertel,2024,22.68,150.0,20.47
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024006,Karl-Marx-Allee Süd,02400624,Weberwiese,2024,18.29,47.0,18.92
02,Friedrichshain-Kreuzberg,0240,Friedrichshain West,024006,Karl-Marx-Allee Süd,02400625,Wriezener Bahnhof,2024,25.91,44.0,26.68
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025007,Frankfurter Allee Nord,02500726,Hausburgviertel,2024,18.63,59.0,19.52
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025007,Frankfurter Allee Nord,02500727,Forckenbeckplatz,2024,16.67,27.0,16.75
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025007,Frankfurter Allee Nord,02500728,Samariterviertel,2024,18.82,82.0,20.66
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025007,Frankfurter Allee Nord,02500729,Pettenkofer Straße,2024,21.13,28.0,20.95
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500830,Niederbarnimstraße,2024,18.26,22.0,18.65
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500831,Wismarplatz,2024,18.0,45.0,19.33
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500832,Traveplatz,2024,20.0,78.0,20.08
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500833,Boxhagener Platz,2024,18.0,54.0,19.31
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500834,Revaler Straße,2024,20.0,55.0,20.1
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500835,Stralauer Kiez,2024,21.68,89.0,21.2
02,Friedrichshain-Kreuzberg,0250,Friedrichshain Ost,025008,Frankfurter Allee Süd FK,02500836,Stralauer Halbinsel,2024,17.0,50.0,16.17
03,Pankow,0310,Buch,031001,Buch,03100101,Bucher Forst,2024,15.5,45.0,14.14
03,Pankow,0310,Buch,031001,Buch,03100102,Klinikum Buch,2024,12.59,41.0,14.15
