year,total,degewo ,GESOBAU ,Gewobag ,HOWOGE,STADT UND LAND ,WBM
2023,6.46,6.54,6.47,6.4,6.42,6.41,6.58
2022,6.39,6.48,6.35,6.36,6.36,6.3,6.55
2021,6.29,6.34,6.23,6.26,6.25,6.23,6.46
2020,6.29,6.34,6.23,6.26,6.25,6.23,6.47
2019,6.22,6.27,6.17,6.2,6.2,6.13,6.44
2018,6.09,6.13,6.04,6.07,6.09,6.0,6.3
2017,5.91,5.96,5.84,5.93,5.91,5.79,6.08
