year,total,degewo ,GESOBAU ,Gewobag ,HOWOGE,STADT UND LAND ,WBM
2023,7.65,7.5,7.99,7.59,7.37,7.94,7.47
2022,7.44,7.38,7.54,7.4,7.45,7.57,7.23
2021,7.25,7.35,7.12,7.08,7.12,7.21,7.77
2020,7.0,6.67,6.9,7.12,7.01,7.32,7.06
2019,7.43,7.43,7.39,7.35,7.36,7.42,7.85
2018,7.43,7.57,7.4,6.91,7.51,7.35,7.94
2017,7.09,6.85,7.19,6.96,6.99,7.17,7.87
