bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner,year,bzr_id
2,210,2100102,8637.0,545.0,837.0,305.0,1198.0,2629.0,1063.0,927.0,1133.0,4257.0,3071.0,2021,
2,210,2100103,5379.0,363.0,527.0,179.0,619.0,1719.0,694.0,628.0,650.0,2689.0,1685.0,2021,
2,210,2100104,5627.0,357.0,544.0,182.0,743.0,1625.0,793.0,708.0,675.0,2784.0,2121.0,2021,
2,210,2100105,9495.0,572.0,909.0,298.0,1149.0,2897.0,1267.0,1097.0,1306.0,4739.0,3280.0,2021,
2,210,2100106,4993.0,254.0,484.0,175.0,613.0,1468.0,685.0,663.0,651.0,2471.0,1622.0,2021,
2,220,2200207,2242.0,198.0,223.0,36.0,132.0,902.0,211.0,214.0,326.0,1114.0,532.0,2021,
2,220,2200208,5853.0,324.0,455.0,174.0,626.0,1957.0,787.0,814.0,716.0,2855.0,1643.0,2021,
2,220,2200209,10845.0,714.0,815.0,213.0,890.0,4008.0,1583.0,1376.0,1246.0,5298.0,2680.0,2021,
2,220,2200210,12225.0,702.0,808.0,249.0,1199.0,4587.0,1696.0,1644.0,1340.0,5928.0,3342.0,2021,
2,220,2200211,14689.0,818.0,895.0,312.0,1461.0,4907.0,2162.0,2328.0,1806.0,7297.0,3676.0,2021,
2,220,2200212,8537.0,547.0,755.0,224.0,832.0,2955.0,1206.0,1121.0,897.0,4242.0,2307.0,2021,
2,220,2200213,10142.0,535.0,708.0,202.0,866.0,3959.0,1429.0,1299.0,1144.0,5042.0,2966.0,2021,
2,230,2300314,7479.0,336.0,533.0,204.0,740.0,2454.0,1178.0,1076.0,958.0,3507.0,2738.0,2021,
2,230,2300315,8530.0,450.0,667.0,236.0,916.0,2888.0,1283.0,1171.0,919.0,4124.0,2892.0,2021,
2,230,2300316,4215.0,194.0,290.0,86.0,368.0,1508.0,612.0,582.0,575.0,2048.0,1248.0,2021,
2,230,2300417,8242.0,417.0,647.0,188.0,800.0,3192.0,1184.0,948.0,866.0,3934.0,2811.0,2021,
2,230,2300418,7653.0,406.0,516.0,137.0,650.0,2969.0,1215.0,967.0,793.0,3699.0,2282.0,2021,
2,230,2300419,10710.0,574.0,654.0,213.0,1097.0,4345.0,1580.0,1272.0,975.0,5107.0,3580.0,2021,
2,240,2400520,5673.0,317.0,387.0,119.0,458.0,1417.0,577.0,745.0,1653.0,2945.0,1209.0,2021,
2,240,2400521,7867.0,488.0,529.0,136.0,738.0,3079.0,842.0,790.0,1265.0,3990.0,1740.0,2021,
