bez_id,bez_name,pgr_id,pgr_name,plr_id,plr_name,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
1,Mitte,104,Wedding,1044201,Reinickendorfer Straße,24103,1521.0,2148.0,667.0,3678.0,8499.0,2972.0,2215,2403,11340.0,10560
1,Mitte,104,Wedding,1044202,Sparrplatz,17188,951.0,1043.0,331.0,3156.0,7112.0,1845.0,1528,1222,7919.0,7126
1,Mitte,104,Wedding,1044203,Leopoldplatz,16058,879.0,1151.0,373.0,2121.0,5769.0,1941.0,1688,2136,7578.0,6353
2,Friedrichshain-Kreuzberg,201,Kreuzberg Nord,2010101,Askanischer Platz,6482,377.0,537.0,165.0,937.0,2340.0,846.0,650,630,2979.0,2680
2,Friedrichshain-Kreuzberg,201,Kreuzberg Nord,2010102,Mehringplatz,13770,905.0,1403.0,470.0,1863.0,4159.0,1777.0,1441,1752,6873.0,4658
2,Friedrichshain-Kreuzberg,201,Kreuzberg Nord,2010103,Moritzplatz,15183,988.0,1493.0,510.0,1924.0,4445.0,2185.0,1676,1962,7491.0,5437
2,Friedrichshain-Kreuzberg,201,Kreuzberg Nord,2010104,Wassertorplatz,5095,295.0,542.0,168.0,600.0,1493.0,702.0,640,655,2529.0,1623
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020201,Gleisdreieck/Entwicklungsgebiet,1860,192.0,170.0,22.0,126.0,711.0,193.0,193,253,938.0,413
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020202,Rathaus Yorckstraße,6037,371.0,491.0,165.0,691.0,2032.0,871.0,748,668,2934.0,1711
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020203,Viktoriapark,10965,736.0,751.0,180.0,1043.0,4122.0,1566.0,1382,1185,5365.0,2719
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020204,Urbanstraße,12657,769.0,812.0,266.0,1271.0,4820.0,1788.0,1630,1301,6123.0,3506
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020205,Chamissokiez,15140,824.0,951.0,318.0,1757.0,5160.0,2326.0,2141,1663,7541.0,3936
2,Friedrichshain-Kreuzberg,202,Kreuzberg Süd,2020206,Graefekiez,18988,1255.0,1420.0,426.0,1789.0,7193.0,2688.0,2266,1951,9442.0,5345
2,Friedrichshain-Kreuzberg,203,Kreuzberg Ost,2030301,Oranienplatz,8893,402.0,668.0,265.0,976.0,3010.0,1424.0,1111,1037,4259.0,3355
2,Friedrichshain-Kreuzberg,203,Kreuzberg Ost,2030302,Lausitzer Platz,13096,729.0,980.0,304.0,1437.0,4671.0,1945.0,1611,1419,6316.0,4290
2,Friedrichshain-Kreuzberg,203,Kreuzberg Ost,2030401,Reichenberger Straße,15168,849.0,1037.0,313.0,1429.0,6152.0,2284.0,1711,1393,7302.0,4807
2,Friedrichshain-Kreuzberg,203,Kreuzberg Ost,2030402,Wrangelkiez,11017,642.0,690.0,207.0,1130.0,4559.0,1591.0,1249,949,5243.0,3680
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040501,Barnimkiez,5427,250.0,392.0,100.0,435.0,1202.0,626.0,705,1717,2863.0,883
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040502,Friedenstraße,7558,491.0,429.0,121.0,715.0,2913.0,849.0,733,1307,3834.0,1576
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040503,Richard-Sorge-Viertel,11351,842.0,682.0,134.0,976.0,5050.0,1414.0,935,1318,5649.0,2152
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040701,Andreasviertel,13406,821.0,775.0,225.0,1683.0,4654.0,1352.0,1292,2604,6770.0,3941
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040702,Weberwiese,11314,585.0,699.0,156.0,1359.0,4819.0,1474.0,985,1237,5428.0,2540
2,Friedrichshain-Kreuzberg,204,Friedrichshain West,2040703,Wriezener Bahnhof/Entwicklungsgebiet,1160,96.0,99.0,25.0,195.0,571.0,69.0,61,44,514.0,706
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050601,Hausburgviertel,9268,633.0,512.0,90.0,961.0,4903.0,1029.0,653,487,4355.0,2211
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050602,Samariterviertel,21899,1557.0,1480.0,347.0,1970.0,11158.0,2851.0,1428,1108,10553.0,5038
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050801,Traveplatz,20636,1385.0,1288.0,300.0,2243.0,10896.0,2369.0,1232,923,9842.0,5574
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050802,Boxhagener Platz,21625,1429.0,1235.0,253.0,2278.0,11685.0,2747.0,1235,763,10236.0,5526
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050803,Stralauer Kiez,7719,540.0,384.0,93.0,889.0,4000.0,787.0,506,520,3629.0,2017
2,Friedrichshain-Kreuzberg,205,Friedrichshain Ost,2050804,Stralauer Halbinsel,4672,509.0,436.0,97.0,205.0,1718.0,746.0,423,538,2315.0,505
3,Pankow,301,Buch,3010101,Bucher Forst,4259,366.0,360.0,71.0,291.0,1358.0,583.0,541,689,2046.0,456
3,Pankow,301,Buch,3010102,Buch,12606,910.0,1096.0,323.0,1198.0,3183.0,1288.0,1453,3155,6457.0,2187
3,Pankow,301,Buch,3010104,Lietzengraben,229,12.0,24.0,9.0,30.0,78.0,44.0,25,7,93.0,27
