bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
01,0110,01100101,3680.0,140,225,31,476,1316,396,399,697,1790,1660
01,0110,01100102,2040.0,93,125,34,190,804,254,273,267,928,1118
01,0110,01100103,5720.0,299,331,102,682,1892,629,710,1075,2691,2225
01,0110,01100104,4997.0,257,385,128,744,1872,610,567,434,2321,2052
01,0110,01100205,2960.0,120,159,60,386,1111,343,336,445,1404,1533
01,0110,01100206,1916.0,82,119,41,183,665,280,265,281,928,734
01,0110,01100207,8806.0,487,539,127,769,3252,996,1034,1602,4360,3343
01,0110,01100308,7446.0,426,471,126,693,3157,1106,761,706,3600,2652
01,0110,01100309,12575.0,658,878,344,1272,4474,2077,1708,1164,6135,3632
01,0110,01100310,10190.0,481,608,171,1080,4028,1201,1111,1510,4847,3897
01,0110,01100311,9720.0,481,718,195,1242,2875,953,978,2278,5047,3453
01,0110,01100312,10271.0,573,641,148,855,3929,1132,1087,1906,5059,3521
01,0110,01100313,11420.0,590,703,181,1506,4126,1337,1265,1712,5600,4061
01,0110,01100414,5542.0,449,498,104,425,2846,620,340,260,2731,2516
01,0110,01100415,13469.0,727,1082,375,1398,5144,2244,1578,921,6669,4295
01,0110,01100416,13560.0,799,1117,381,1071,5396,2383,1460,953,6737,4039
01,0120,01200517,3898.0,221,279,80,565,1580,405,420,348,1772,1757
01,0120,01200518,7009.0,360,428,145,1178,2804,764,702,628,3249,3162
01,0120,01200519,9593.0,462,624,217,1284,3822,1072,978,1134,4437,3820
01,0120,01200520,9496.0,448,597,168,1197,3592,1050,1188,1256,4499,2950
01,0120,01200521,5343.0,263,394,134,746,1998,583,600,625,2443,2137
01,0120,01200522,11620.0,541,713,241,1256,3648,1313,1721,2187,5894,2689
01,0120,01200623,11008.0,576,748,223,1440,4513,1243,1187,1078,5227,3715
01,0120,01200624,6562.0,567,416,97,760,3544,532,365,281,3063,3394
01,0120,01200625,6929.0,341,595,221,859,2270,806,766,1071,3387,2472
01,0120,01200626,5994.0,280,345,95,605,2092,755,790,1032,2959,1742
01,0120,01200627,3360.0,231,389,121,432,874,368,411,534,1668,1191
01,0120,01200628,3301.0,181,198,83,317,1122,454,455,491,1557,890
01,0120,01200629,5951.0,194,286,75,968,1870,592,736,1230,2907,2069
01,0130,01300730,8068.0,469,824,291,1211,2669,963,823,818,3775,3966
01,0130,01300731,8975.0,534,752,267,1320,3166,990,939,1007,4269,3746
01,0130,01300732,10178.0,680,1002,310,1341,3592,1226,1028,999,4929,4203
01,0130,01300733,11692.0,635,1053,339,1548,4127,1490,1243,1257,5609,4678
01,0130,01300834,14376.0,999,1662,567,1708,4322,1756,1524,1838,7187,4546
01,0130,01300835,10972.0,593,951,284,1805,3105,1253,1238,1743,5588,3718
01,0130,01300836,14988.0,826,1316,443,2237,5363,1815,1503,1485,7084,6408
01,0140,01400937,10940.0,516,702,256,1304,3648,1228,1515,1771,5330,3728
01,0140,01400938,9703.0,453,650,223,1165,3689,1114,1116,1293,4625,3451
01,0140,01400939,6122.0,362,433,110,807,2333,662,674,741,2948,2523
01,0140,01400940,7088.0,499,565,135,636,1910,745,965,1633,3733,1362
01,0140,01400941,3879.0,198,234,72,375,969,377,480,1174,2043,1112
01,0140,01400942,8690.0,435,521,193,1208,3470,1013,953,897,4233,3342
01,0140,01401043,7690.0,430,590,248,1110,2487,939,879,1007,3718,3259
01,0140,01401044,10304.0,595,895,300,1311,3930,1240,1034,999,4856,4740
01,0140,01401045,5689.0,328,538,180,771,2164,670,556,482,2635,2632
01,0140,01401046,8973.0,469,535,165,1258,3807,962,937,840,4234,3161
01,0140,01401047,8211.0,414,520,209,1425,3578,808,668,589,3833,4274
01,0140,01401048,9504.0,457,618,193,1572,3692,1026,1026,920,4475,3993
01,0140,01401049,6716.0,343,478,145,793,2108,742,866,1241,3351,2848
02,0210,02100101,7175.0,394,633,190,1053,2578,906,714,707,3478,3481
02,0210,02100102,8695.0,505,817,323,1198,2675,1106,982,1089,4307,3222
02,0210,02100103,5466.0,317,513,189,636,1762,698,695,656,2735,1770
02,0210,02100104,5636.0,318,515,198,703,1688,821,714,679,2768,2143
02,0210,02100105,9452.0,509,846,327,1102,2960,1271,1127,1310,4730,3396
02,0210,02100106,4903.0,228,431,205,561,1443,642,689,704,2441,1611
02,0220,02200207,2574.0,216,265,48,184,985,288,240,348,1268,754
02,0220,02200208,5767.0,285,466,156,627,1854,780,836,763,2853,1710
02,0220,02200209,10976.0,600,890,245,968,3933,1578,1415,1347,5431,2839
02,0220,02200210,12269.0,571,849,295,1192,4515,1686,1696,1465,5957,3481
02,0220,02200211,14676.0,719,909,307,1560,4866,2047,2320,1948,7329,3784
02,0220,02200212,8405.0,501,674,222,849,2875,1140,1146,998,4198,2259
02,0220,02200213,10117.0,518,671,214,919,3849,1458,1303,1185,5080,2997
02,0230,02300314,7177.0,288,491,183,719,2259,1187,1122,928,3395,2551
02,0230,02300315,8326.0,375,641,226,899,2790,1310,1107,978,4035,2866
02,0230,02300316,4240.0,198,321,112,355,1471,614,585,584,2065,1280
02,0230,02300417,8149.0,372,589,203,849,3018,1275,930,913,3886,2765
02,0230,02300418,7645.0,335,531,151,672,2941,1193,994,828,3702,2406
02,0230,02300419,10568.0,504,653,198,1086,4180,1614,1306,1027,5031,3610
02,0240,02400520,5919.0,329,461,139,465,1583,593,739,1610,3085,1474
02,0240,02400521,8529.0,514,616,155,767,3492,899,855,1231,4313,2290
02,0240,02400522,11493.0,660,828,235,943,4926,1528,1055,1318,5754,2551
