bez_id,pgr_id,bzr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
02,0250,8,02500832,9541,603,685,178,939,4977,1184,602,373,4496,3278
02,0250,8,02500833,10045,477,564,141,989,5216,1471,791,396,4787,3160
02,0250,8,02500834,11299,572,839,224,1174,5207,1755,990,538,5401,2965
02,0250,8,02500835,8820,544,610,151,984,4317,1024,613,577,4139,3143
02,0250,8,02500836,5137,405,589,139,259,1766,797,570,612,2606,716
03,0310,1,03100101,4720,321,469,125,318,1377,676,618,816,2224,651
03,0310,1,03100102,3505,245,260,81,391,976,370,387,795,1710,994
03,0310,1,03100103,9449,583,917,282,1001,2341,979,1054,2292,4877,2078
03,0320,2,03200204,2423,97,217,67,251,466,306,437,582,1083,433
03,0320,2,03200205,9167,463,890,297,965,2002,1301,1504,1745,4771,1408
03,0320,2,03200206,6842,381,750,221,757,1630,1023,974,1106,3544,1257
03,0320,2,03200207,11799,596,1247,365,1016,2978,1737,1802,2058,6069,1732
03,0320,3,03200308,5261,266,560,181,380,1080,755,1012,1027,2671,436
03,0320,3,03200309,5484,295,623,175,391,1216,710,967,1107,2753,651
03,0320,3,03200310,8088,464,827,276,622,1924,1111,1292,1572,4188,778
03,0330,4,03300411,11764,804,1489,434,1039,3092,1450,1548,1908,6094,2028
03,0330,4,03300412,5226,248,465,150,356,940,658,988,1421,2642,351
03,0330,4,03300413,3195,167,340,108,230,541,480,600,729,1592,163
03,0330,5,03300514,6869,282,714,220,460,1172,935,1326,1760,3493,490
03,0330,5,03300515,49,0,3,6,9,6,0,7,18,25,6
03,0330,5,03300516,9560,647,934,256,945,2618,1080,1379,1701,4657,2392
03,0330,5,03300517,1088,34,77,39,60,132,158,223,365,540,28
03,0340,6,03400618,4783,234,496,174,436,984,711,902,846,2416,436
03,0340,6,03400619,10596,541,860,293,931,2490,1333,1734,2414,5477,1348
03,0340,6,03400620,3506,170,319,150,323,629,533,556,826,1820,437
03,0340,7,03400721,11895,679,1329,468,1059,3605,2066,1419,1270,6161,1796
03,0340,7,03400722,3807,196,344,129,346,866,554,567,805,2061,526
03,0340,7,03400723,7507,512,817,238,715,2571,1047,771,836,3818,1284
03,0340,7,03400724,8494,527,786,258,792,2372,1134,1098,1527,4584,1091
03,0340,7,03400725,7645,423,748,207,537,1833,876,1151,1870,4135,716
03,0340,8,03400826,7222,385,682,195,682,2202,966,900,1210,3729,1372
03,0340,8,03400827,9703,469,786,263,801,3349,1482,1229,1324,4985,1779
03,0340,8,03400828,4934,266,342,102,402,1783,631,589,819,2512,1069
03,0340,8,03400829,5968,268,501,183,759,1642,737,702,1176,3146,1073
03,0340,8,03400830,9293,485,677,250,804,2862,1424,1332,1459,4883,1285
03,0340,8,03400831,0,0,0,0,0,0,0,0,0,0,0
03,0350,9,03500932,6659,461,557,171,762,2010,752,819,1127,3354,1848
03,0350,9,03500933,7686,368,654,233,646,2332,1027,1029,1397,3951,1198
03,0350,9,03500934,10363,634,902,233,863,4040,1525,1139,1027,5074,2351
03,0350,9,03500935,6799,374,660,218,703,2411,1051,775,607,3422,1469
03,0350,9,03500936,10052,541,1052,366,950,3018,1522,1363,1240,5212,1761
03,0350,10,03501037,8487,433,579,183,753,2553,1063,1101,1822,4312,1525
03,0350,10,03501038,7506,381,696,230,579,1879,806,1198,1737,4003,1110
03,0360,11,03601139,4040,241,280,49,413,1712,557,387,401,2014,1151
03,0360,11,03601140,6016,294,429,160,551,2597,1065,563,357,2891,1550
03,0360,11,03601141,7057,393,534,201,741,2892,1104,667,525,3552,1967
03,0360,11,03601142,10860,499,864,285,997,4413,1940,1230,632,5443,2943
03,0360,12,03601243,6990,365,486,127,614,2864,1119,778,637,3544,1476
03,0360,12,03601244,7614,358,468,176,678,2924,1229,925,856,3977,1537
03,0360,12,03601245,13511,628,782,235,1277,5579,1742,1480,1788,6927,3222
03,0360,13,03601346,5888,284,480,168,610,2153,1082,787,324,2872,1569
03,0360,13,03601347,9495,456,832,298,899,3297,1957,1294,462,4709,2149
03,0360,13,03601348,7470,343,612,179,710,2910,1378,948,390,3800,1766
03,0360,14,03601449,9928,373,582,176,860,2284,950,1263,3440,5352,1569
03,0360,14,03601450,5449,437,714,254,748,1524,504,511,757,2581,3045
03,0360,14,03601451,6527,335,466,146,534,2658,1019,756,613,3256,1652
03,0360,14,03601452,4746,246,364,109,415,2044,588,484,496,2380,1455
03,0360,14,03601453,3391,197,469,159,477,960,640,225,264,1667,812
03,0370,15,03701554,11453,608,971,328,1208,4099,2047,1539,653,5626,3207
03,0370,15,03701555,7258,345,586,186,686,2583,1257,1053,562,3621,1705
03,0370,15,03701556,8598,530,751,216,771,3104,1406,1123,697,4281,2414
03,0370,16,03701657,3215,136,291,70,286,997,386,378,671,1628,723
03,0370,16,03701658,8285,354,718,268,761,3113,1501,1050,520,4200,1981
03,0370,16,03701659,9477,514,808,241,930,3460,1612,1089,823,4760,2505
03,0370,16,03701660,12614,592,1045,489,1197,4051,2273,1862,1105,6434,2423
04,0410,1,04100101,11768,587,830,330,1291,3235,1482,1544,2469,5826,4057
04,0410,1,04100102,7878,478,861,263,773,1850,966,1066,1621,4164,2419
04,0420,2,04200203,1456,46,126,42,185,257,168,217,415,763,240
04,0420,2,04200204,3325,163,241,80,355,782,261,327,1116,1747,1039
04,0420,2,04200205,2522,64,150,110,224,435,362,449,728,1317,518
04,0420,2,04200206,2848,134,260,98,296,457,304,546,753,1466,452
04,0420,2,04200207,2996,99,243,90,604,576,293,418,673,1491,807
04,0420,3,04200308,6113,265,440,118,696,1381,625,826,1762,3187,1429
04,0420,3,04200309,6895,306,441,156,652,1634,764,1030,1912,3660,1149
04,0420,3,04200310,7533,345,529,195,689,1624,852,1061,2238,4012,1582
04,0420,3,04200311,7424,299,452,127,921,2188,777,1057,1603,3825,1928
04,0430,4,04300412,4539,302,281,61,531,1680,406,379,899,2289,2017
04,0430,4,04300413,9973,466,854,269,1083,2707,1249,1435,1910,5223,2510
04,0430,4,04300414,10581,481,701,226,1031,3139,1288,1484,2231,5516,2506
04,0430,4,04300415,6258,268,364,110,559,1632,673,870,1782,3367,1484
04,0430,4,04300416,11646,589,687,250,1262,3438,1326,1738,2356,5972,2930
04,0430,5,04300517,9468,394,508,201,1096,3161,1125,1336,1647,4755,2934
04,0430,5,04300518,6682,399,517,160,801,2279,763,784,979,3297,2500
04,0430,6,04300619,9007,396,556,166,968,2687,1025,1229,1980,4664,2576
04,0430,6,04300620,4118,261,221,82,549,1705,436,433,431,1984,1662
04,0430,6,04300621,10941,540,690,292,1138,3321,1278,1391,2291,5572,3277
04,0430,6,04300622,5269,301,349,100,557,1819,567,630,946,2745,1787
04,0430,6,04300623,12187,528,722,238,1570,3930,1438,1572,2189,6015,4530
04,0430,6,04300624,9314,424,418,157,1075,2891,1012,1325,2012,4666,2706
04,0440,7,04400725,61,7,0,0,7,16,6,15,10,29,28
04,0440,7,04400726,5417,249,504,173,462,1067,662,736,1564,2841,1345
04,0440,7,04400727,8322,396,545,173,785,2143,984,1214,2082,4447,2051
04,0440,7,04400728,3189,156,276,68,279,616,400,464,930,1636,720
04,0440,7,04400729,2840,175,227,65,219,486,351,418,899,1510,596
04,0440,8,04400830,8457,539,794,236,684,2318,945,995,1946,4491,2464
04,0440,8,04400831,1543,45,125,33,135,238,194,239,534,837,248
04,0440,8,04400832,6998,234,472,184,661,1405,826,1095,2121,3843,1114
04,0440,8,04400833,3901,158,261,80,230,834,431,549,1358,2078,767
04,0440,8,04400834,3384,121,228,70,267,772,356,596,974,1764,615
04,0440,8,04400835,10164,415,695,256,917,2268,1189,1661,2763,5546,1600
04,0450,9,04500936,5621,259,402,143,537,1475,664,804,1337,2916,1609
04,0450,9,04500937,7653,286,428,154,709,2154,906,1107,1909,3934,2077
04,0450,9,04500938,8281,377,544,168,773,2458,938,1114,1909,4257,2383
04,0450,9,04500939,6761,327,459,142,741,1989,780,935,1388,3506,1989
04,0450,10,04501040,5895,246,355,125,543,1586,710,951,1379,3056,1519
04,0450,10,04501041,5420,235,319,111,470,1390,657,858,1380,2797,1536
04,0450,10,04501042,3664,184,255,90,389,1070,430,489,757,1817,1365
04,0450,10,04501043,10999,497,710,214,1034,2999,1289,1584,2672,5758,3096
04,0450,10,04501044,5328,251,331,107,505,1416,584,738,1396,2831,1438
04,0450,10,04501045,9363,388,568,184,874,2605,1141,1327,2276,4736,3069
04,0450,11,04501146,4744,266,362,113,526,1434,530,632,881,2395,1416
04,0450,11,04501147,5452,220,364,153,609,1603,667,819,1017,2790,1317
04,0450,11,04501148,4564,240,371,126,518,1323,515,589,882,2339,1346
04,0450,11,04501149,9878,467,660,242,973,2671,1142,1420,2303,5157,2509
04,0450,11,04501150,3016,123,159,61,238,818,300,435,882,1595,755
04,0450,11,04501151,7420,338,542,206,739,2092,918,1065,1520,3865,1476
04,0450,11,04501152,6861,235,423,139,677,1821,844,964,1758,3455,1863
04,0450,11,04501153,7563,352,544,231,817,2350,849,964,1456,3714,2156
05,0510,1,05100101,4504,276,457,122,353,1061,487,651,1097,2379,575
05,0510,1,05100102,4377,218,299,101,398,989,401,664,1307,2325,796
05,0510,1,05100103,6107,529,600,149,585,2009,669,639,927,3069,1992
05,0510,1,05100104,6960,556,676,211,796,2208,666,653,1194,3591,2366
05,0510,1,05100105,7689,332,527,190,753,1685,862,1296,2044,3914,912
05,0510,2,05100206,3623,166,410,158,392,692,345,478,982,1927,1015
05,0510,2,05100207,2331,132,136,64,219,512,249,505,514,1208,274
05,0510,2,05100208,11137,746,1244,339,1083,2707,1261,1382,2375,5700,3447
05,0510,2,05100209,11935,750,1243,444,1228,2962,1403,1515,2390,6161,3606
05,0510,2,05100210,7911,465,612,180,854,2327,918,1142,1413,4011,2418
05,0510,2,05100211,6210,277,517,192,585,1321,726,963,1629,3134,1311
05,0510,3,05100312,4007,197,328,99,475,1203,475,535,695,2010,1248
05,0510,3,05100313,7231,512,771,235,716,1887,735,743,1632,3769,2670
05,0510,3,05100314,7493,452,759,245,1094,2299,874,858,912,3518,3559
05,0510,3,05100315,7334,474,665,196,858,2381,821,956,983,3485,2646
05,0510,3,05100316,10505,573,858,284,1169,3082,1295,1471,1773,5336,3016
05,0510,3,05100317,4458,349,534,147,571,1299,467,481,610,2212,2317
05,0520,4,05200418,3847,149,339,116,351,674,478,959,781,1909,314
05,0520,4,05200419,1632,46,85,37,141,312,166,322,523,859,31
05,0520,4,05200420,5910,282,454,175,549,1213,715,1015,1507,2968,1082
05,0520,4,05200421,4360,255,470,140,482,1039,495,558,921,2215,981
05,0520,4,05200422,1201,105,122,43,131,356,125,168,151,595,209
05,0520,4,05200423,6809,400,695,196,612,1690,691,874,1651,3650,1685
05,0520,5,05200524,3380,187,356,124,313,729,499,543,629,1789,461
05,0520,5,05200525,2464,135,232,62,155,561,305,394,620,1261,311
05,0520,5,05200526,5806,326,805,264,600,1498,684,669,960,2922,2516
05,0520,5,05200527,12030,886,1733,589,1375,2925,1345,1314,1863,6194,4865
05,0520,5,05200528,7291,409,574,197,585,1521,706,1120,2179,3794,1355
05,0520,6,05200629,8357,504,653,178,835,2424,872,1008,1883,4246,2525
05,0520,6,05200630,10042,536,794,249,1122,2860,1258,1378,1845,5052,2849
05,0520,6,05200631,8679,473,658,181,962,2637,975,1312,1481,4334,2623
05,0520,6,05200632,3655,178,377,135,398,845,436,594,692,1799,1196
05,0520,6,05200633,2159,113,200,62,192,471,207,295,619,1191,400
05,0520,6,05200634,4319,135,226,92,281,692,476,716,1701,2236,465
05,0530,7,05300735,4520,572,484,143,673,1622,418,384,224,2248,1365
05,0530,7,05300736,3575,234,532,167,363,868,542,418,451,1810,855
05,0530,7,05300737,11913,705,948,270,1170,3225,1351,1614,2630,6254,3245
05,0530,8,05300838,16,0,0,0,0,4,0,12,0,6,3
05,0530,8,05300839,8314,495,741,275,959,2300,1036,1117,1391,4135,2601
05,0530,8,05300840,503,28,37,9,52,138,66,66,107,257,166
05,0530,8,05300841,4605,267,366,86,527,1536,497,578,748,2206,1407
05,0540,9,05400942,3691,138,338,110,268,581,410,651,1195,1874,375
05,0540,9,05400943,10533,544,1282,412,850,1853,1505,1731,2356,5348,860
05,0540,9,05400944,2183,75,192,66,154,290,216,369,821,1138,191
05,0540,9,05400945,3671,173,351,139,226,522,436,576,1248,1877,259
06,0610,1,06100101,6912,245,469,180,698,1437,787,1053,2043,3726,1071
06,0610,1,06100102,9048,463,709,200,850,2624,1113,1313,1776,4748,2194
06,0610,1,06100103,6186,318,462,154,601,1779,800,917,1155,3320,1039
06,0610,2,06100204,6803,315,427,158,721,1821,746,1066,1549,3531,1383
06,0610,2,06100205,9988,521,745,229,1056,2789,1172,1447,2029,5219,2026
06,0610,2,06100206,7751,348,584,186,728,2014,885,1106,1900,4183,1519
06,0610,2,06100207,8168,405,538,178,923,2347,939,1061,1777,4226,1783
06,0610,2,06100208,7065,353,447,148,665,2108,794,990,1560,3601,1290
06,0610,2,06100209,9322,477,686,202,852,2791,1123,1298,1893,4971,2067
06,0610,2,06100210,5004,248,343,115,464,1399,585,738,1112,2673,932
06,0620,3,06200311,4873,201,385,115,420,994,564,743,1451,2591,679
06,0620,3,06200312,6285,289,490,114,660,1401,689,860,1782,3231,1362
06,0620,3,06200313,7395,385,541,167,647,2077,868,1089,1621,3969,1515
06,0620,3,06200314,7210,399,531,156,646,1981,887,1035,1575,3725,1392
06,0620,3,06200315,6890,418,629,179,639,1745,788,965,1527,3606,1337
06,0620,3,06200316,5788,287,438,161,779,1451,568,719,1385,3116,1569
06,0620,3,06200317,6257,305,502,166,496,1136,755,1081,1816,3223,677
06,0620,4,06200418,0,0,0,0,0,0,0,0,0,0,0
06,0620,4,06200419,4539,238,388,144,443,1204,452,578,1092,2370,1369
06,0620,4,06200420,7403,379,575,173,650,1566,894,1145,2021,3866,1470
06,0620,4,06200421,8417,345,645,234,776,1814,977,1263,2363,4494,1556
06,0620,4,06200422,7009,291,567,191,706,1383,803,1116,1952,3747,1027
06,0620,4,06200423,8606,386,827,286,708,1500,1029,1309,2561,4607,1317
06,0630,5,06300524,5624,246,495,177,521,960,615,955,1655,2910,871
06,0630,5,06300525,5820,272,468,142,526,1378,726,903,1405,3163,1044
06,0630,5,06300526,3350,142,310,114,359,741,423,485,776,1706,633
06,0630,5,06300527,8541,398,591,181,798,1996,952,1357,2268,4618,1370
06,0630,5,06300528,10947,442,906,375,906,1817,1263,1621,3617,5902,1501
06,0630,6,06300629,6988,268,461,183,703,1658,847,1099,1769,3688,1145
06,0630,6,06300630,5667,315,463,168,602,1484,644,762,1229,2958,1628
06,0630,6,06300631,2881,117,232,111,433,633,386,383,586,1507,693
06,0630,6,06300632,13695,615,1418,484,1268,2587,1844,2314,3165,6989,2063
06,0630,6,06300633,11955,469,1010,326,1152,2644,1431,1906,3017,6231,1920
06,0630,6,06300634,8285,366,742,272,762,1454,1027,1284,2378,4421,1168
06,0640,7,06400735,10188,405,1056,373,699,1634,1287,1707,3027,5274,1472
06,0640,7,06400736,5139,221,530,191,428,805,628,830,1506,2690,511
06,0640,7,06400737,11337,449,949,339,1688,2084,1254,1550,3024,5835,2715
