bez_id,bez_name,pgr_id,pgr_name,plr_id,plr_name,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
1,Mitte,101,Zentrum,1011101,Stülerstraße,3419,156.0,143.0,28.0,442,1162.0,360.0,377,751.0,1623.0,1387
1,Mitte,101,Zentrum,1011102,Großer Tiergarten,192,6.0,6.0,4.0,19,68.0,25.0,36,28.0,71.0,73
1,Mitte,101,Zentrum,1011103,Lützowstraße,5211,264.0,306.0,102.0,604,1578.0,638.0,740,979.0,2428.0,1853
1,Mitte,101,Zentrum,1011104,Körnerstraße,4636,256.0,410.0,112.0,779,1629.0,584.0,500,366.0,2073.0,1787
1,Mitte,101,Zentrum,1011105,Nördlicher Landwehrkanal,1599,92.0,88.0,43.0,137,603.0,235.0,204,197.0,717.0,836
1,Mitte,101,Zentrum,1011201,Wilhelmstraße,2573,109.0,139.0,51.0,316,827.0,338.0,349,444.0,1216.0,1134
1,Mitte,101,Zentrum,1011202,Unter den Linden Nord,646,42.0,23.0,19.0,63,210.0,107.0,95,87.0,305.0,228
1,Mitte,101,Zentrum,1011203,Unter den Linden Süd,1157,66.0,86.0,16.0,93,430.0,158.0,141,167.0,547.0,425
1,Mitte,101,Zentrum,1011204,Leipziger Straße,8312,472.0,433.0,125.0,709,2961.0,1002.0,1010,1600.0,4060.0,2814
1,Mitte,101,Zentrum,1011301,Charitéviertel,6967,446.0,423.0,78.0,655,2998.0,1011.0,658,698.0,3367.0,2153
1,Mitte,101,Zentrum,1011302,Oranienburger Straße,12352,694.0,973.0,317.0,1067,4620.0,2202.0,1443,1036.0,5998.0,3308
1,Mitte,101,Zentrum,1011303,Alexanderplatzviertel,9903,474.0,528.0,120.0,1119,3913.0,1229.0,1005,1515.0,4690.0,3470
1,Mitte,101,Zentrum,1011304,Karl-Marx-Allee,9013,500.0,631.0,192.0,878,2522.0,837.0,939,2514.0,4724.0,2656
1,Mitte,101,Zentrum,1011305,Heine-Viertel West,9422,554.0,475.0,113.0,846,3461.0,1063.0,993,1917.0,4634.0,2765
1,Mitte,101,Zentrum,1011306,Heine-Viertel Ost,10779,628.0,568.0,138.0,1480,3812.0,1311.0,1230,1612.0,5272.0,3347
1,Mitte,101,Zentrum,1011401,Invalidenstraße,17771,1216.0,1422.0,329.0,1631,7670.0,2906.0,1567,1030.0,8778.0,5438
1,Mitte,101,Zentrum,1011402,Arkonaplatz,13443,934.0,1174.0,238.0,1055,5758.0,2379.0,1080,825.0,6677.0,3619
1,Mitte,102,Moabit,1022101,Huttenkiez,3450,197.0,219.0,70.0,479,1405.0,402.0,396,282.0,1562.0,1299
1,Mitte,102,Moabit,1022102,Beusselkiez,6866,362.0,423.0,134.0,1213,2649.0,775.0,687,623.0,3118.0,2987
1,Mitte,102,Moabit,1022103,Westhafen,275,15.0,46.0,19.0,39,73.0,35.0,27,21.0,128.0,174
1,Mitte,102,Moabit,1022104,Emdener Straße,18536,951.0,1177.0,369.0,2467,6906.0,2191.0,2153,2322.0,8709.0,6063
1,Mitte,102,Moabit,1022105,Zwinglistraße,5235,300.0,379.0,129.0,805,1904.0,602.0,556,560.0,2399.0,1920
1,Mitte,102,Moabit,1022106,Elberfelder Straße,11333,569.0,678.0,233.0,1218,3456.0,1429.0,1693,2057.0,5734.0,2267
1,Mitte,102,Moabit,1022201,Stephankiez,10825,649.0,722.0,207.0,1532,4348.0,1265.0,1104,998.0,5054.0,3320
1,Mitte,102,Moabit,1022202,Heidestraße,5178,429.0,299.0,76.0,719,2704.0,423.0,254,274.0,2440.0,2340
1,Mitte,102,Moabit,1022203,Lübecker Straße,6976,434.0,606.0,184.0,916,2238.0,832.0,717,1049.0,3402.0,2374
1,Mitte,102,Moabit,1022204,Thomasiusstraße,5935,314.0,369.0,100.0,612,2006.0,800.0,718,1016.0,2917.0,1527
